Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1500000US220710017023,2.21E+11,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",171,56,154,46,17,26
1500000US220710017024,2.21E+11,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",221,51,150,49,71,53
1500000US220710017201,2.21E+11,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",235,71,192,64,43,48
1500000US220710017202,2.21E+11,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",412,84,235,74,177,85
1500000US220710017203,2.21E+11,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",638,106,445,93,193,80
1500000US220710017204,2.21E+11,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",446,112,321,95,125,69
1500000US220710017221,2.21E+11,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",261,87,167,82,94,64
1500000US220710017222,2.21E+11,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",297,88,253,81,44,42
1500000US220710017223,2.21E+11,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",498,79,431,80,67,41
1500000US220710017224,2.21E+11,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",172,54,172,54,0,12
1500000US220710017225,2.21E+11,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",400,88,349,80,51,48
1500000US220710017226,2.21E+11,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",199,73,123,62,76,56
1500000US220710017227,2.21E+11,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",135,63,121,66,14,24
1500000US220710017231,2.21E+11,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",322,89,272,82,50,39
1500000US220710017232,2.21E+11,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",815,109,738,108,77,54
1500000US220710017233,2.21E+11,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",407,84,331,89,76,54
1500000US220710017234,2.21E+11,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",560,105,508,102,52,39
1500000US220710017241,2.21E+11,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",433,109,268,83,165,98
1500000US220710017242,2.21E+11,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",427,100,356,90,71,49
1500000US220710017243,2.21E+11,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",744,128,612,118,132,71
1500000US220710017244,2.21E+11,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",588,125,426,119,162,97
1500000US220710017251,2.21E+11,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",820,166,765,156,55,70
1500000US220710017252,2.21E+11,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",632,139,559,129,73,77
1500000US220710017253,2.21E+11,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",591,138,521,127,70,77
1500000US220710017254,2.21E+11,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",771,154,569,139,202,119
1500000US220710017301,2.21E+11,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",378,43,287,46,91,44
1500000US220710017341,2.21E+11,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",603,57,333,70,270,86
1500000US220710017351,2.21E+11,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",673,94,454,85,219,68
1500000US220710017352,2.21E+11,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",546,80,350,67,196,68
1500000US220710017361,2.21E+11,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",416,84,241,69,175,73
1500000US220710017362,2.21E+11,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",620,79,559,82,61,35
1500000US220710017371,2.21E+11,"Block Group 1, Census Tract 17.37, Orleans Parish, Louisiana",899,95,724,112,175,84
1500000US220710017372,2.21E+11,"Block Group 2, Census Tract 17.37, Orleans Parish, Louisiana",364,70,322,66,42,39
1500000US220710017373,2.21E+11,"Block Group 3, Census Tract 17.37, Orleans Parish, Louisiana",325,65,249,63,76,53
1500000US220710017391,2.21E+11,"Block Group 1, Census Tract 17.39, Orleans Parish, Louisiana",504,65,408,67,96,55
1500000US220710017392,2.21E+11,"Block Group 2, Census Tract 17.39, Orleans Parish, Louisiana",194,46,165,43,29,26
1500000US220710017401,2.21E+11,"Block Group 1, Census Tract 17.40, Orleans Parish, Louisiana",486,88,442,93,44,40
1500000US220710017402,2.21E+11,"Block Group 2, Census Tract 17.40, Orleans Parish, Louisiana",937,123,695,128,242,103
1500000US220710017403,2.21E+11,"Block Group 3, Census Tract 17.40, Orleans Parish, Louisiana",825,128,656,127,169,86
1500000US220710017411,2.21E+11,"Block Group 1, Census Tract 17.41, Orleans Parish, Louisiana",546,25,480,44,66,37
1500000US220710017431,2.21E+11,"Block Group 1, Census Tract 17.43, Orleans Parish, Louisiana",713,98,625,105,88,61
1500000US220710017432,2.21E+11,"Block Group 2, Census Tract 17.43, Orleans Parish, Louisiana",554,109,314,101,240,82
