GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US220710037026,220710037026,"Block Group 6, Census Tract 37.02, Orleans Parish, Louisiana",37212,31368
1500000US220710038001,220710038001,"Block Group 1, Census Tract 38, Orleans Parish, Louisiana",70074,29102
1500000US220710038002,220710038002,"Block Group 2, Census Tract 38, Orleans Parish, Louisiana",62417,33297
1500000US220710039001,220710039001,"Block Group 1, Census Tract 39, Orleans Parish, Louisiana",32188,19639
1500000US220710039002,220710039002,"Block Group 2, Census Tract 39, Orleans Parish, Louisiana",19821,12755
1500000US220710040001,220710040001,"Block Group 1, Census Tract 40, Orleans Parish, Louisiana",21105,3109
1500000US220710040002,220710040002,"Block Group 2, Census Tract 40, Orleans Parish, Louisiana",22278,6022
1500000US220710041001,220710041001,"Block Group 1, Census Tract 41, Orleans Parish, Louisiana",44960,11837
1500000US220710041002,220710041002,"Block Group 2, Census Tract 41, Orleans Parish, Louisiana",70395,6632
1500000US220710044011,220710044011,"Block Group 1, Census Tract 44.01, Orleans Parish, Louisiana",14375,7036
1500000US220710044012,220710044012,"Block Group 2, Census Tract 44.01, Orleans Parish, Louisiana",13750,12533
