Id,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median gross rent 2015,Median gross rent,with other types of income,with public assistance income,total
1500000US220710131001,9091,9489,742,839,0,10,115
1500000US220710131002,9091,25469,650,657,20,11,146
1500000US220710131003,17100,17098,838,850,4,0,157
1500000US220710131004,19539,19327,938,923,24,0,143
1500000US220710132001,21992,43409,1068,1074,33,0,208
1500000US220710132002,18793,19899,862,896,0,10,313
1500000US220710132003,45240,80000,864,897,10,19,294
1500000US220710132004,58466,58850,1548,1578,47,0,245
1500000US220710133011,98194,137396,1205,1125,31,0,315
1500000US220710133012,140313,137500,-,1813,32,0,504
1500000US220710133013,118807,125278,-,-,9,0,180
1500000US220710133014,96429,80682,1350,1455,13,0,412
1500000US220710133021,80078,62708,544,636,20,0,523
1500000US220710133022,151477,144063,-,-,18,7,358
1500000US220710134001,81591,80375,1391,-,14,6,239
1500000US220710134002,22500,17348,295,298,30,10,395
1500000US220710134003,61563,52036,1466,1418,37,12,815
1500000US220710135001,70143,64615,1375,1191,0,0,226
1500000US220710135002,82361,89250,1247,1422,30,0,342
1500000US220710135003,81031,70385,1322,1159,40,0,318
1500000US220710135004,52875,60625,1082,1043,8,0,416
1500000US220710136001,45563,49948,965,860,4,0,261
1500000US220710136002,31494,31818,793,809,22,21,166
1500000US220710137001,-,-,-,-,0,0,0
1500000US220710137002,18333,13750,-,-,9,0,69
1500000US220710137003,9205,9688,403,440,41,16,278
1500000US220710137004,21042,20583,943,713,29,0,455
1500000US220710138001,22361,26964,888,995,10,0,245
1500000US220710138002,19132,19595,496,499,26,0,263
1500000US220710138003,25625,30764,746,781,13,18,306
1500000US220710139001,68929,65556,1021,1091,31,0,282
1500000US220710139002,33833,36250,849,895,16,0,590
1500000US220710140001,33833,4402,400,496,17,6,93
1500000US220710140002,9545,9503,251,244,34,13,422
1500000US220710140003,12188,11444,870,846,14,40,302
1500000US220710140004,9844,10625,714,635,0,0,50
1500000US220710141001,21538,22685,793,768,22,0,492
1500000US220710141002,43750,30714,1295,1021,15,0,142
1500000US220710141003,17315,19138,643,784,35,0,422
1500000US220710142001,32171,29000,1000,1026,0,4,204
1500000US220710142002,54630,66042,1125,1026,17,0,530
1500000US220710142003,45417,28750,1125,976,26,0,203
1500000US220710143001,12750,15561,397,390,38,10,224
1500000US220710143002,12083,12031,661,674,0,3,76
1500000US220710143003,15043,14091,805,906,50,38,410
1500000US220710144001,40694,29265,931,881,8,0,142
1500000US220710144002,32098,44338,848,933,32,4,335
1500000US220710144003,36944,40125,1129,784,19,6,330
1500000US220710145001,-,-,-,-,0,0,0
1500000US220719800001,-,-,-,-,0,0,0
1500000US220719801001,-,-,-,-,0,0,0
1500000US220719900000,-,-,-,-,0,0,0
