year,exporter,expAddress,exporterCity,quant,units,importer,impAddress,impCity,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,75441.50463,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,1572241.871,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,7543.696871,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,2431.255801,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,68978.71869,kg,CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,10868.98349,kg,CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,41222,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,51 BRODERICK ROAD,BRISTOL,22.67962501,kg,CLEAN HARBORS INC,"CONCESSION ROAD, C.P. 280, 5E RANGE",THURSO,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,52532,kg,CLEAN HARBORS INC,6785 ROUTE 132,SAINTE-CATHERINE,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1164262,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1016370,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,264005,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,207,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,454,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1205835,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,70046,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1040,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,19952,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,7130,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,433779,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,6331.69771,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,307607,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,600057,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,39180,kg,CLEAN HARBORS INC,1294 STE-MARGUERITE,MERCIER,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,851,l,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,SAFETY-KLEEN,581 MILLIKEN DRIVE S.E,HEBRON,1990999.374,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,487874,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,814,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,174605,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,78310,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,27916,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,SAFETY KLEEN PINEWOOD INC,8430 CAMP MACBOYKIN ROAD,PINEWOOD,82299.82323,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,3768,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,6545,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
