Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710017301,2.2071E+11,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",287,46,49,30,238,49
1500000US220710017341,2.2071E+11,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",333,70,25,33,308,75
1500000US220710017351,2.2071E+11,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",454,85,64,37,390,81
1500000US220710017352,2.2071E+11,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",350,67,25,25,325,70
1500000US220710017361,2.2071E+11,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",241,69,39,37,202,59
1500000US220710017362,2.2071E+11,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",559,82,96,51,463,78
1500000US220710017371,2.2071E+11,"Block Group 1, Census Tract 17.37, Orleans Parish, Louisiana",724,112,67,55,657,115
1500000US220710017372,2.2071E+11,"Block Group 2, Census Tract 17.37, Orleans Parish, Louisiana",322,66,18,19,304,71
1500000US220710017373,2.2071E+11,"Block Group 3, Census Tract 17.37, Orleans Parish, Louisiana",249,63,39,24,210,66
1500000US220710017391,2.2071E+11,"Block Group 1, Census Tract 17.39, Orleans Parish, Louisiana",408,67,46,35,362,68
1500000US220710017392,2.2071E+11,"Block Group 2, Census Tract 17.39, Orleans Parish, Louisiana",165,43,31,29,134,49
1500000US220710017401,2.2071E+11,"Block Group 1, Census Tract 17.40, Orleans Parish, Louisiana",442,93,59,40,383,96
1500000US220710017402,2.2071E+11,"Block Group 2, Census Tract 17.40, Orleans Parish, Louisiana",695,128,64,58,631,124
1500000US220710017403,2.2071E+11,"Block Group 3, Census Tract 17.40, Orleans Parish, Louisiana",656,127,69,61,587,125
1500000US220710017411,2.2071E+11,"Block Group 1, Census Tract 17.41, Orleans Parish, Louisiana",480,44,77,43,403,60
1500000US220710017431,2.2071E+11,"Block Group 1, Census Tract 17.43, Orleans Parish, Louisiana",625,105,45,37,580,113
1500000US220710017432,2.2071E+11,"Block Group 2, Census Tract 17.43, Orleans Parish, Louisiana",314,101,19,24,295,100
1500000US220710017441,2.2071E+11,"Block Group 1, Census Tract 17.44, Orleans Parish, Louisiana",489,106,11,18,478,105
1500000US220710017442,2.2071E+11,"Block Group 2, Census Tract 17.44, Orleans Parish, Louisiana",493,139,49,49,444,136
1500000US220710017443,2.2071E+11,"Block Group 3, Census Tract 17.44, Orleans Parish, Louisiana",427,97,28,32,399,93
1500000US220710017451,2.2071E+11,"Block Group 1, Census Tract 17.45, Orleans Parish, Louisiana",930,106,42,37,888,115
1500000US220710017452,2.2071E+11,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",409,79,57,46,352,83
1500000US220710017461,2.2071E+11,"Block Group 1, Census Tract 17.46, Orleans Parish, Louisiana",482,126,34,30,448,129
1500000US220710017462,2.2071E+11,"Block Group 2, Census Tract 17.46, Orleans Parish, Louisiana",578,116,21,21,557,119
1500000US220710017463,2.2071E+11,"Block Group 3, Census Tract 17.46, Orleans Parish, Louisiana",563,131,59,48,504,131
1500000US220710017471,2.2071E+11,"Block Group 1, Census Tract 17.47, Orleans Parish, Louisiana",847,104,106,50,741,113
1500000US220710017472,2.2071E+11,"Block Group 2, Census Tract 17.47, Orleans Parish, Louisiana",425,90,35,29,390,90
1500000US220710017481,2.2071E+11,"Block Group 1, Census Tract 17.48, Orleans Parish, Louisiana",374,84,7,11,367,87
1500000US220710017482,2.2071E+11,"Block Group 2, Census Tract 17.48, Orleans Parish, Louisiana",409,98,38,43,371,111
1500000US220710017483,2.2071E+11,"Block Group 3, Census Tract 17.48, Orleans Parish, Louisiana",445,101,86,62,359,92
1500000US220710017484,2.2071E+11,"Block Group 4, Census Tract 17.48, Orleans Parish, Louisiana",273,88,52,41,221,84
1500000US220710017491,2.2071E+11,"Block Group 1, Census Tract 17.49, Orleans Parish, Louisiana",369,69,59,43,310,62
1500000US220710017492,2.2071E+11,"Block Group 2, Census Tract 17.49, Orleans Parish, Louisiana",471,78,47,32,424,77
1500000US220710017501,2.2071E+11,"Block Group 1, Census Tract 17.50, Orleans Parish, Louisiana",397,89,3,7,394,90
1500000US220710017502,2.2071E+11,"Block Group 2, Census Tract 17.50, Orleans Parish, Louisiana",322,87,69,66,253,74
1500000US220710017503,2.2071E+11,"Block Group 3, Census Tract 17.50, Orleans Parish, Louisiana",434,93,11,19,423,93
1500000US220710017511,2.2071E+11,"Block Group 1, Census Tract 17.51, Orleans Parish, Louisiana",268,45,6,7,262,45
1500000US220710018001,2.2071E+11,"Block Group 1, Census Tract 18, Orleans Parish, Louisiana",418,75,22,17,396,74
1500000US220710018002,2.2071E+11,"Block Group 2, Census Tract 18, Orleans Parish, Louisiana",282,65,11,12,271,64
1500000US220710019001,2.2071E+11,"Block Group 1, Census Tract 19, Orleans Parish, Louisiana",138,51,0,12,138,51
1500000US220710019002,2.2071E+11,"Block Group 2, Census Tract 19, Orleans Parish, Louisiana",261,58,21,18,240,55
1500000US220710019003,2.2071E+11,"Block Group 3, Census Tract 19, Orleans Parish, Louisiana",245,70,0,12,245,70
1500000US220710020001,2.2071E+11,"Block Group 1, Census Tract 20, Orleans Parish, Louisiana",212,63,3,7,209,63
1500000US220710020002,2.2071E+11,"Block Group 2, Census Tract 20, Orleans Parish, Louisiana",197,65,28,30,169,62
1500000US220710020003,2.2071E+11,"Block Group 3, Census Tract 20, Orleans Parish, Louisiana",107,46,5,7,102,46
1500000US220710021001,2.2071E+11,"Block Group 1, Census Tract 21, Orleans Parish, Louisiana",158,57,2,4,156,57
1500000US220710021002,2.2071E+11,"Block Group 2, Census Tract 21, Orleans Parish, Louisiana",209,47,18,20,191,50
1500000US220710022001,2.2071E+11,"Block Group 1, Census Tract 22, Orleans Parish, Louisiana",125,44,7,8,118,44
1500000US220710022002,2.2071E+11,"Block Group 2, Census Tract 22, Orleans Parish, Louisiana",181,43,44,27,137,40
1500000US220710022003,2.2071E+11,"Block Group 3, Census Tract 22, Orleans Parish, Louisiana",96,44,6,10,90,44
1500000US220710023001,2.2071E+11,"Block Group 1, Census Tract 23, Orleans Parish, Louisiana",59,27,0,12,59,27
1500000US220710023002,2.2071E+11,"Block Group 2, Census Tract 23, Orleans Parish, Louisiana",114,56,0,12,114,56
1500000US220710023003,2.2071E+11,"Block Group 3, Census Tract 23, Orleans Parish, Louisiana",68,45,0,12,68,45
1500000US220710023004,2.2071E+11,"Block Group 4, Census Tract 23, Orleans Parish, Louisiana",101,42,7,11,94,41
1500000US220710023005,2.2071E+11,"Block Group 5, Census Tract 23, Orleans Parish, Louisiana",475,88,35,23,440,88
1500000US220710024011,2.2071E+11,"Block Group 1, Census Tract 24.01, Orleans Parish, Louisiana",414,75,36,27,378,72
1500000US220710024012,2.2071E+11,"Block Group 2, Census Tract 24.01, Orleans Parish, Louisiana",355,78,43,38,312,81
1500000US220710024021,2.2071E+11,"Block Group 1, Census Tract 24.02, Orleans Parish, Louisiana",168,68,9,15,159,71
1500000US220710024022,2.2071E+11,"Block Group 2, Census Tract 24.02, Orleans Parish, Louisiana",355,110,44,44,311,113
1500000US220710024023,2.2071E+11,"Block Group 3, Census Tract 24.02, Orleans Parish, Louisiana",276,84,26,27,250,82
1500000US220710024024,2.2071E+11,"Block Group 4, Census Tract 24.02, Orleans Parish, Louisiana",419,83,18,31,401,86
1500000US220710025011,2.2071E+11,"Block Group 1, Census Tract 25.01, Orleans Parish, Louisiana",278,64,20,25,258,64
