Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Some other race,Two or more races
1500000US220710084002,2014,542,324,210,0,0,0,34,0,8
1500000US220710085001,2014,798,21,623,0,154,0,85,0,0
1500000US220710085002,2014,470,9,452,0,0,0,0,0,9
1500000US220710086001,2014,426,28,317,0,35,0,43,38,8
1500000US220710086002,2014,430,11,412,0,0,0,18,7,0
1500000US220710088001,2014,859,605,181,0,25,0,81,0,48
1500000US220710088002,2014,1032,706,300,0,0,0,13,0,26
1500000US220710090001,2014,510,437,52,0,0,0,0,10,11
1500000US220710090002,2014,582,557,0,0,25,0,5,0,0
1500000US220710090003,2014,867,715,19,28,39,0,13,0,66
1500000US220710091001,2014,853,329,524,0,0,0,0,0,0
1500000US220710091002,2014,342,214,87,0,41,0,10,0,0
1500000US220710091003,2014,463,107,140,0,10,0,206,206,0
1500000US220710091004,2014,764,346,418,0,0,0,0,0,0
1500000US220710092001,2014,197,11,186,0,0,0,11,0,0
1500000US220710092002,2014,689,5,684,0,0,0,0,0,0
1500000US220710092003,2014,602,13,559,0,0,0,0,9,21
1500000US220710094001,2014,328,60,268,0,0,0,26,0,0
1500000US220710094002,2014,250,0,250,0,0,0,0,0,0
1500000US220710094003,2014,344,4,340,0,0,0,83,0,0
1500000US220710094004,2014,377,0,377,0,0,0,0,0,0
1500000US220710096001,2014,594,480,106,0,0,0,72,0,8
1500000US220710096002,2014,449,374,63,0,0,0,44,0,12
1500000US220710096003,2014,551,252,283,0,16,0,20,0,0
1500000US220710097001,2014,817,502,219,0,82,0,6,9,5
1500000US220710097002,2014,849,177,528,0,0,0,116,111,33
1500000US220710099001,2014,1209,956,186,0,45,0,44,10,12
1500000US220710099002,2014,942,806,95,0,13,0,125,0,28
1500000US220710099003,2014,929,797,109,0,0,1,89,0,22
1500000US220710100001,2014,467,43,424,0,0,0,4,0,0
1500000US220710100002,2014,541,44,497,0,0,0,10,0,0
1500000US220710100003,2014,547,287,230,0,7,0,41,23,0
1500000US220710100004,2014,356,0,356,0,0,0,0,0,0
1500000US220710101001,2014,583,263,290,0,30,0,47,0,0
1500000US220710101002,2014,1304,1151,125,13,5,0,49,0,10
1500000US220710102001,2014,264,0,264,0,0,0,0,0,0
1500000US220710102002,2014,245,19,207,0,0,0,6,0,19
1500000US220710102003,2014,195,38,144,0,0,0,0,0,13
1500000US220710102004,2014,306,110,191,0,0,0,0,0,5
1500000US220710102005,2014,468,36,426,5,1,0,0,0,0
1500000US220710103001,2014,614,13,601,0,0,0,11,0,0
1500000US220710103002,2014,996,11,985,0,0,0,0,0,0
1500000US220710103003,2014,869,139,647,13,0,0,10,4,66
1500000US220710103004,2014,388,116,272,0,0,0,15,0,0
1500000US220710106001,2014,699,434,260,0,0,0,5,5,0
1500000US220710106002,2014,600,330,170,0,0,0,102,0,100
1500000US220710107001,2014,533,446,62,0,18,0,58,0,7
1500000US220710107002,2014,1158,820,226,0,24,0,36,5,83
1500000US220710108001,2014,363,268,26,18,35,0,28,16,0
1500000US220710108002,2014,957,897,55,0,5,0,43,0,0
1500000US220710109001,2014,842,147,695,0,0,0,38,0,0
1500000US220710109002,2014,1100,754,299,0,47,0,38,0,0
1500000US220710109003,2014,831,750,40,0,41,0,24,0,0
1500000US220710109004,2014,734,293,413,0,0,0,7,7,21
1500000US220710111001,2014,419,109,249,27,0,0,52,25,9
1500000US220710111002,2014,604,177,417,0,0,0,10,0,10
1500000US220710111003,2014,461,130,301,0,0,0,29,6,24
1500000US220710112001,2014,599,459,55,0,30,0,46,33,22
