id,USExporterSiteName,US Exporter Site Street Address,US Exporter Site City,US Exporter Site State,US Exporter Site Zip Code,latitude,longitude
NYD013415849,ELECTRONIC DEVICES INC.,21 GRAY OAKS AVENUE,YONKERS,NY,10710,40.9747399,-73.8679954
MAD980522817,AMERICAN INSULATED WIRE NORTHEAST CABLE,330 TURNER STREET,SOUTH ATTLEBORO,MA,2703,41.895465,-71.380325
TXD008096158,ETHYL CORPORATION - HOUSTON PLANT,1000 N SOUTH STREET,PASADENA,TX,77501-0472,29.7372742,-95.1668015
PAD987367216,"AERC.COM, INC.",2591 MITCHELL AVENUE,ALLENTOWN,PA,18103,40.5678177,-75.4795761
NYD001313261,"VICTORIA PLATING CO., INC.",650 TIFFANY STREET,BRONX,NY,10474,40.8127708,-73.8905106
NYD001230341,GENERAL GALVANIZING & SUPPLY CO,652 WHITTIER STREET,BRONX,NY,10474,40.8146744,-73.8833084
MED000242701,HOLTRACHEM MANUFACTURING,99 INDUSTRIAL WAY,ORRINGTON,ME,4474,44.7380897,-68.8265971
MID060975844,"EQ RESOURCE RECOVERY, INC.",36345 VAN BORN ROAD,ROMULUS,MI,48174,42.2629585,-83.3945465
NJD002169233,SUFFERN PLATING CORPORATION,210 GARIBALDI AVENUE,LODI,NJ,7644,40.8807459,-74.0751759
KSD09923717,,,,KS,,,
WAD009252719,US OIL AND REFINING COMPANY,3001 MARSHALL AVENUE,TACOMA,WA,98421,47.2557411,-122.3940277
TND007026958,"WILLIAMS REFINING & MARKETING, LLC",543 WEST MALLORY AVENUE,MEMPHIS,TN,38109,35.0865517,-90.0795517
WAD009276197,ENVIROGREEN TECHNOLOGIES,8505 SOUTH TEXAS ROAD,ANACORTES,WA,98221,48.4663186,-122.5669775
OHD004234480,AK STEEL CORPORATION,1801 CRAWFORD STREET,MIDDLETOWN,OH,45043,39.5007882,-84.3922848
OHD005057542,BP OIL COMPANY - TOLEDO REFINERY,4001 CEDAR POINT ROAD,OREGON,OH,43616,41.6739082,-83.4490814
OHD986967214,"ISG WARREN, INC. & LTV STEEL COMPANY - WARREN WORKS COKE PLANT",2234 MAIN AVENUE SOUTH WEST,WARREN,OH,44481,41.2112503,-80.8152466
GAR000020248,CONCORD FABRICS,80 HIGHWAY 22 WEST,MILLEDGEVILLE,GA,31061,33.0790329,-83.241684
CANPRO,"CANPRO INVESTMENTS, LTD.",10 RIVERSIDE DRIVE,LAKEVILLE,MA,2347,41.8768234,-70.9229889
NJD000564906,"NATIONAL WASTE CLEAN, INC.",304 PULASKI STREET,SOUTH PLAINFIELD,NJ,7080,40.5787277,-74.4176102
OHR000032151,"CLARK REFINING & MARKETING, INC. - LIMA REFINERY",1150 S. METCALF STREET,LIMA,OH,45804,40.7192078,-84.1235733
OHD004178612,GENERAL ENVIRONMENTAL MANAGEMENT,2655 TRANSPORT ROAD,CLEVELAND,OH,44115,41.4855693,-81.6729849
KYD005009923,CALGON CARBON CORP,"US ROUTE 23, S.",CATLETTSBURG,KY,41129,38.3526001,-82.6120377
PAD987270725,"ENVIROTROL, INC. - DARLINGTON FACILITY",118 PARK ROAD,DARLINGTON,PA,16115,40.7963371,-80.4708328
NYD002079374,"ROYAL METAL PRODUCTS, INC.",463 WEST ROAD,SURPRISE,NY,12176,42.386341,-73.992782
NYD080336241,"CECOS INTERNATIONAL, INC.",5600 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304-1532,43.0919609,-78.9997101
VTD002084705,IBM,1000 RIVER ROAD,ESSEX JUNCTION,VT,5452,44.4835014,-73.0788269
