coastal_exposure_s2,coastal_exposure_no_habitats_s2,habitat_role_s2,coastal_exposure_s1,coastal_exposure_no_habitats_s1,habitat_role_s1,s1_habitat_role_percent,exposure_diff_percent,latitude,longitude
3.2031,3.22497,0.0218673,3.11367,3.22497,0.111296,3.451070863,2.791982767,49.184001,-126.084786
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.185093,-126.043676
3.53278,3.55689,0.0241177,3.43414,3.55689,0.122751,3.451076643,2.792135372,49.185454,-126.029973
3.47128,3.59536,0.124078,3.47128,3.59536,0.124078,3.451059143,0,49.187233,-125.961451
3.47128,3.59536,0.124078,3.47128,3.59536,0.124078,3.451059143,0,49.187584,-125.947745
3.30877,3.42704,0.118269,3.30877,3.42704,0.118269,3.451053971,0,49.187933,-125.93404
2.29417,2.37618,0.0820034,2.29417,2.37618,0.0820034,3.451060105,0,49.188971,-125.892922
2.57512,2.66717,0.0920458,2.57512,2.66717,0.0920458,3.451066111,0,49.189314,-125.879215
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.189655,-125.865508
2.75516,2.85364,0.0984807,2.73772,2.85364,0.115919,4.06214519,0.632994091,49.191337,-125.796971
