longitude,latitude,stop_id,title,stop_lat,stop_lon,stoplatnum,stoplonnum,rr_name,stop_desc,url
-73.967328,41.335181,,Manitou,,,0,0,Metro-North Railroad,40,http://www.mta.info/mnr
-73.910941,40.874333,,Marble Hill,,,0,0,Metro-North Railroad,11,http://www.mta.info/mnr
-73.46900177,40.67689896,113,Massapequa,40.67692,-73.46905,40.6769,-73.469,Long Island Railroad,,http://www.mta.info/lirr
-73.45469666,40.67779922,114,Massapequa Park,40.67785,-73.45474,40.6778,-73.4547,Long Island Railroad,,http://www.mta.info/lirr
-72.86440277,40.79899979,127,Mastic Shirley,40.79898,-72.86442,40.799,-72.8644,Long Island Railroad,,http://www.mta.info/lirr
-72.53610229,40.9917984,80,Mattituck,40.99179,-72.53606,40.9918,-72.5361,Long Island Railroad,,http://www.mta.info/lirr
-72.99890137,40.81740189,77,Medford,40.81739,-72.99891,40.8174,-72.9989,Long Island Railroad,,http://www.mta.info/lirr
-73.915231,40.825761,,Melrose,,,0,0,Metro-North Railroad,54,http://www.mta.info/mnr
-73.66249847,40.73519897,41,Merillon Avenue,40.73516,-73.66252,40.7352,-73.6625,Long Island Railroad,,http://www.mta.info/lirr
-73.55059814,40.66379929,109,Merrick,40.66379,-73.55062,40.6638,-73.5506,Long Island Railroad,,http://www.mta.info/lirr
-73.427917,41.143382,,Merritt 7,,,0,0,Metro-North Railroad,158,http://www.mta.info/mnr
-73.84369659,40.75239944,17,Mets-Willets Point,40.75239,-73.8437,40.7524,-73.8437,Long Island Railroad,,http://www.mta.info/lirr
-73.057647,41.223231,,Milford,,,0,0,Metro-North Railroad,145,http://www.mta.info/mnr
-73.64089966,40.74029922,42,Mineola,40.74034,-73.64086,40.7403,-73.6409,Long Island Railroad,,http://www.mta.info/lirr
-71.9539032,41.04710007,138,Montauk,41.0471,-71.95388,41.0471,-71.9539,Long Island Railroad,,http://www.mta.info/lirr
-73.919583,40.854252,,Morris Heights,,,0,0,Metro-North Railroad,9,http://www.mta.info/mnr
-73.729778,41.208242,,Mount Kisco,,,0,0,Metro-North Railroad,84,http://www.mta.info/mnr
-73.794235,41.097165,,Mount Pleasant,,,0,0,Metro-North Railroad,79,http://www.mta.info/mnr
-73.832185,40.912161,,Mt Vernon East,,,0,0,Metro-North Railroad,105,http://www.mta.info/mnr
-73.851129,40.912142,,Mt Vernon West,,,0,0,Metro-North Railroad,62,http://www.mta.info/mnr
-73.8144989,40.76269913,19,Murray Hill,40.7627,-73.81454,40.7627,-73.8145,Long Island Railroad,,http://www.mta.info/lirr
-73.66269684,40.72290039,36,Nassau Boulevard,40.72295,-73.6627,40.7229,-73.6627,Long Island Railroad,,http://www.mta.info/lirr
-73.052655,41.494204,,Naugatuck,,,0,0,Metro-North Railroad,171,http://www.mta.info/mnr
-73.495626,41.146305,,New Canaan,,,0,0,Metro-North Railroad,157,http://www.mta.info/mnr
-73.947226,41.587448,,New Hamburg,,,0,0,Metro-North Railroad,49,http://www.mta.info/mnr
-72.92829,41.296501,,New Haven,,,0,0,Metro-North Railroad,149,http://www.mta.info/mnr
-73.68099976,40.73080063,40,New Hyde Park,40.73075,-73.68096,40.7308,-73.681,Long Island Railroad,,http://www.mta.info/lirr
-73.783807,40.911605,,New Rochelle,,,0,0,Metro-North Railroad,108,http://www.mta.info/mnr
-72.921747,41.304979,,NH-State St.,,,0,0,Metro-North Railroad,151,http://www.mta.info/mnr
-73.49788,41.069041,,Noroton Heights,,,0,0,Metro-North Railroad,127,http://www.mta.info/mnr
-73.773142,41.049806,,North White Plains,,,0,0,Metro-North Railroad,76,http://www.mta.info/mnr
-73.32849884,40.88059998,62,Northport,40.88064,-73.32848,40.8806,-73.3285,Long Island Railroad,,http://www.mta.info/lirr
-73.94819641,40.67839813,13,Nostrand Avenue,40.67838,-73.94822,40.6784,-73.9482,Long Island Railroad,,http://www.mta.info/lirr
-73.13240051,40.74340057,122,Oakdale,40.74342,-73.13243,40.7434,-73.1324,Long Island Railroad,,http://www.mta.info/lirr
-73.65470123,40.63470078,103,Oceanside,40.63471,-73.65466,40.6347,-73.6547,Long Island Railroad,,http://www.mta.info/lirr
-73.565859,41.033817,,Old Greenwich,,,0,0,Metro-North Railroad,121,http://www.mta.info/mnr
-73.869281,41.157663,,Ossining,,,0,0,Metro-North Railroad,31,http://www.mta.info/mnr
-73.53399658,40.87530136,53,Oyster Bay,40.87533,-73.53403,40.8753,-73.534,Long Island Railroad,,http://www.mta.info/lirr
-73.01570129,40.76190186,124,Patchogue,40.76187,-73.01574,40.7619,-73.0157,Long Island Railroad,,http://www.mta.info/lirr
-73.604584,41.511827,,Patterson,,,0,0,Metro-North Railroad,97,http://www.mta.info/mnr
-73.600524,41.564205,,Pawling,,,0,0,Metro-North Railroad,98,http://www.mta.info/mnr
-73.93042,41.285962,,Peekskill,,,0,0,Metro-North Railroad,39,http://www.mta.info/mnr
-73.810242,40.910321,,Pelham,,,0,0,Metro-North Railroad,106,http://www.mta.info/mnr
-73.99359894,40.75059891,8,Penn Station,40.75058,-73.99358,40.7506,-73.9936,Long Island Railroad,,http://www.mta.info/lirr
-73.869755,41.09492,,Philipse Manor,,,0,0,Metro-North Railroad,29,http://www.mta.info/mnr
-73.39959717,40.74530029,70,Pinelawn,40.74535,-73.3996,40.7453,-73.3996,Long Island Railroad,,http://www.mta.info/lirr
-73.69519806,40.81069946,27,Plandome,40.81069,-73.69521,40.8107,-73.6952,Long Island Railroad,,http://www.mta.info/lirr
-73.792661,41.135222,,Pleasantville,,,0,0,Metro-North Railroad,81,http://www.mta.info/mnr
-73.6647,41.000732,,Port Chester,,,0,0,Metro-North Railroad,115,http://www.mta.info/mnr
-73.05249786,40.93450165,67,Port Jefferson,40.93454,-73.0525,40.9345,-73.0525,Long Island Railroad,,http://www.mta.info/lirr
-73.68740082,40.82899857,28,Port Washington,40.82903,-73.6874,40.829,-73.6874,Long Island Railroad,,http://www.mta.info/lirr
-73.937946,41.705839,,Poughkeepsie,,,0,0,Metro-North Railroad,51,http://www.mta.info/mnr
-73.659061,41.325775,,Purdy's,,,0,0,Metro-North Railroad,89,http://www.mta.info/mnr
-73.7365036,40.7173996,31,Queens Village,40.71745,-73.73646,40.7174,-73.7365,Long Island Railroad,,http://www.mta.info/lirr
-73.4338,41.325684,,Redding,,,0,0,Metro-North Railroad,163,http://www.mta.info/mnr
-73.914126,40.903981,,Riverdale,,,0,0,Metro-North Railroad,16,http://www.mta.info/mnr
-72.66690063,40.9197998,79,Riverhead,40.91983,-72.66691,40.9198,-72.6669,Long Island Railroad,,http://www.mta.info/lirr
-73.588173,41.031682,,Riverside,,,0,0,Metro-North Railroad,120,http://www.mta.info/mnr
-73.64659882,40.65829849,106,Rockville Centre,40.65831,-73.64655,40.6583,-73.6466,Long Island Railroad,,http://www.mta.info/lirr
-73.10590363,40.80810165,75,Ronkonkoma,40.80808,-73.10594,40.8081,-73.1059,Long Island Railroad,,http://www.mta.info/lirr
-73.73549652,40.66590118,86,Rosedale,40.66594,-73.73555,40.6659,-73.7355,Long Island Railroad,,http://www.mta.info/lirr
-73.64330292,40.79050064,45,Roslyn,40.79047,-73.64326,40.7905,-73.6433,Long Island Railroad,,http://www.mta.info/lirr
-73.445527,41.077456,,Rowayton,,,0,0,Metro-North Railroad,129,http://www.mta.info/mnr
-73.679131,40.986744,,Rye,,,0,0,Metro-North Railroad,114,http://www.mta.info/mnr
-73.76550293,40.69120026,83,Saint Albans,40.69118,-73.76551,40.6912,-73.7655,Long Island Railroad,,http://www.mta.info/lirr
-73.15950012,40.88219833,65,Saint James,40.88216,-73.15951,40.8822,-73.1595,Long Island Railroad,,http://www.mta.info/lirr
-73.08640289,40.74029922,123,Sayville,40.74035,-73.08645,40.7403,-73.0864,Long Island Railroad,,http://www.mta.info/lirr
-73.866163,41.135763,,Scarborough,,,0,0,Metro-North Railroad,30,http://www.mta.info/mnr
-73.808634,40.989168,,Scarsdale,,,0,0,Metro-North Railroad,71,http://www.mta.info/mnr
-73.62539673,40.85240173,48,Sea Cliff,40.85236,-73.62542,40.8524,-73.6254,Long Island Railroad,,http://www.mta.info/lirr
-73.48660278,40.67570114,112,Seaford,40.67572,-73.48657,40.6757,-73.4866,Long Island Railroad,,http://www.mta.info/lirr
-73.072499,41.395139,,Seymour,,,0,0,Metro-North Railroad,169,http://www.mta.info/mnr
-73.19799805,40.85649872,64,Smithtown,40.85654,-73.19803,40.8565,-73.198,Long Island Railroad,,http://www.mta.info/lirr
-73.421132,41.09673,,South Norwalk,,,0,0,Metro-North Railroad,131,http://www.mta.info/mnr
-72.39009857,40.8946991,134,Southampton,40.89471,-72.39012,40.8947,-72.3901,Long Island Railroad,,http://www.mta.info/lirr
-73.623787,41.413203,,Southeast,,,0,0,Metro-North Railroad,94,http://www.mta.info/mnr
-72.42810059,41.06620026,81,Southold,41.0662,-72.4281,41.0662,-72.4281,Long Island Railroad,,http://www.mta.info/lirr
-73.28897,41.134844,,Southport,,,0,0,Metro-North Railroad,137,http://www.mta.info/mnr
-72.70429993,40.82120132,129,Speonk,40.82117,-72.70427,40.8212,-72.7043,Long Island Railroad,,http://www.mta.info/lirr
-73.517828,41.08876,,Springdale,,,0,0,Metro-North Railroad,154,http://www.mta.info/mnr
-73.921455,40.878245,,Spuyten Duyvil,,,0,0,Metro-North Railroad,14,http://www.mta.info/mnr
-73.542846,41.046611,,Stamford,,,0,0,Metro-North Railroad,124,http://www.mta.info/mnr
-73.68099976,40.72299957,35,Stewart Manor,40.72302,-73.68102,40.723,-73.681,Long Island Railroad,,http://www.mta.info/lirr
-73.12850189,40.92029953,66,Stony Brook,40.92031,-73.12855,40.9203,-73.1285,Long Island Railroad,,http://www.mta.info/lirr
-73.131532,41.194255,,Stratford,,,0,0,Metro-North Railroad,143,http://www.mta.info/mnr
-73.50039673,40.82479858,58,Syosset,40.82485,-73.50044,40.8248,-73.5004,Long Island Railroad,,http://www.mta.info/lirr
-73.498149,41.116012,,Talmadge Hill,,,0,0,Metro-North Railroad,155,http://www.mta.info/mnr
-73.864923,41.077859,,Tarrytown,,,0,0,Metro-North Railroad,27,http://www.mta.info/mnr
-73.558204,41.779938,,Tenmile River,,,0,0,Metro-North Railroad,176,http://www.mta.info/mnr
-73.89955,40.847301,,Tremont,,,0,0,Metro-North Railroad,55,http://www.mta.info/mnr
-73.830166,40.949393,,Tuckahoe,,,0,0,Metro-North Railroad,66,http://www.mta.info/mnr
-73.91312,40.862248,,University Heights,,,0,0,Metro-North Railroad,10,http://www.mta.info/mnr
-73.772599,41.072819,,Valhalla,,,0,0,Metro-North Railroad,78,http://www.mta.info/mnr
