GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710016001,220710016001,"Block Group 1, Census Tract 16, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017011,220710017011,"Block Group 1, Census Tract 17.01, Orleans Parish, Louisiana",654,156,2,4,645,156,0,12,0,12,0,12,0,12,7,10,7,10,0,12
1500000US220710017012,220710017012,"Block Group 2, Census Tract 17.01, Orleans Parish, Louisiana",451,180,0,12,448,181,0,12,0,12,0,12,0,12,3,6,3,6,0,12
1500000US220710017013,220710017013,"Block Group 3, Census Tract 17.01, Orleans Parish, Louisiana",505,145,6,11,499,144,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017021,220710017021,"Block Group 1, Census Tract 17.02, Orleans Parish, Louisiana",813,292,0,12,813,292,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017022,220710017022,"Block Group 2, Census Tract 17.02, Orleans Parish, Louisiana",784,290,12,17,772,288,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017023,220710017023,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",437,183,124,92,313,142,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017024,220710017024,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",527,204,356,191,108,70,0,12,63,59,0,12,0,12,0,12,0,12,0,12
1500000US220710017201,220710017201,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",735,294,0,12,655,281,0,12,9,14,0,12,13,19,58,68,0,12,58,68
1500000US220710017202,220710017202,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",659,214,0,12,659,214,0,12,0,12,0,12,0,12,0,12,0,12,0,12
