Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710017223,2.21E+11,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",1057,294,0,12,1034,305,0,12,0,12,0,12,23,36,0,12,0,12,0,12
1500000US220710017224,2.21E+11,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",434,188,0,12,315,146,0,12,0,12,0,12,119,188,0,12,0,12,0,12
1500000US220710017225,2.21E+11,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",1012,340,62,60,937,341,0,12,0,12,0,12,7,11,6,11,0,12,6,11
1500000US220710017226,2.21E+11,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",245,117,0,12,245,117,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017227,2.21E+11,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",329,210,0,12,329,210,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017231,2.21E+11,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",863,369,25,35,656,314,0,12,66,92,0,12,0,12,116,164,0,12,116,164
1500000US220710017232,2.21E+11,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",1654,311,57,49,1560,304,0,12,4,9,0,12,15,25,18,19,0,12,18,19
1500000US220710017233,2.21E+11,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",902,263,40,39,862,267,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017234,2.21E+11,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",1651,456,167,232,1484,432,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017241,2.21E+11,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",700,257,147,100,509,254,0,12,44,65,0,12,0,12,0,12,0,12,0,12
