Id,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Some other race alone,Estimate; Total: - Hispanic
220710030005,259,0,259,0,0,0,0
220710036002,1043,31,1012,0,0,0,17
220710030004,308,5,290,13,0,0,0
220710014011,568,12,556,0,0,0,0
220710007014,657,34,623,0,0,0,0
220710054003,631,387,230,0,0,14,105
220710037025,569,441,128,0,0,0,14
220710007011,766,0,720,46,0,0,7
220710041002,771,352,415,0,4,0,7
220710035001,602,5,587,0,0,10,23
220710015002,731,80,651,0,0,0,0
220710028003,464,0,464,0,0,0,42
220710028004,384,4,380,0,0,0,0
220710045004,441,32,409,0,0,0,44
220710076051,418,10,408,0,0,0,0
220710013011,589,20,569,0,0,0,0
220710027001,395,31,324,0,0,40,73
220710044011,674,18,656,0,0,0,0
220710064002,480,233,137,56,16,38,167
220710027005,495,7,470,0,18,0,5
